NRIC,NAME,SURNAME,EMAIL,DateOfBirth,ZIP,Gender,Etnicity,Religion,MaritalStatus,ICD-9
S9315862H,Sophia,Rosu,RosSophi@hotmail.co.uk,1977-09-09,33917,Male,White,Roman Catholic,Never-married,401.9
S4496824Z,Kenny,Bogner,Ke@gmail.com,1966-09-07,32526,Male,White,Baptist,Married-civ-spouse,244.9
G5813476R,Lawrence,Moneypenny,MoneypLawrence@live.com,1978-01-27,32811,Male,White,,Divorced,530.81
S5902544I,Katelyn,Martsolf,MartKa@gmail.com,1963-08-29,34453,Male,Black,Unknown,Married-civ-spouse,250.00
S0536306C,Kolby,Mcglon,McKolby@gmail.com,1988-05-30,33596,Female,Black,Unknown,Married-civ-spouse,401.9
T2335220F,Keisha,Miniuk,Miniuk@gmail.com,1979-09-07,33484,Female,White,Unknown,Married-civ-spouse,272.4
S4740502E,Lynette,Rockhold,RocLyne@hotmail.co.uk,1967-11-27,34681,Female,Black,,Married-spouse-absent,401.9
G5342792T,Domenic,Dumaine,DuDome@gmail.com,1964-07-17,32223,Male,White,Baptist,Married-civ-spouse,401.9
F2503151L,Dina,Donhoe,DD@outlook.co.uk,1985-03-27,32534,Female,White,Unknown,Never-married,427.31
F8573610T,Skye,Treacy,TreSkye@hotmail.com,1974-11-25,32738,Male,White,,Married-civ-spouse,250.00
S6491201A,Liza,Weideman,WeidLiz@gmail.com,1979-06-24,33774,Male,Black,Unknown,Married-civ-spouse,401.9
F5693085W,Mohammed,Langille,Mohamme@outlook.gov,1986-07-30,34233,Male,Asian,,Married-civ-spouse,401.9
T7759825A,Rickey,Philabaum,PhilabRic@outlook.com,1993-05-31,33837,Female,White,,Never-married,250.00
S4578090B,Laurie,Ebanks,EbLauri@outlook.co.uk,1984-06-29,34668,Male,Black,Unknown,Never-married,272.4
T3013632B,Allen,Echemendia,EchemAll@live.co.uk,1976-07-14,33781,Male,Asian,Unknown,Married-civ-spouse,V58.69
T4234852Z,Eboni,Klinkhammer,KlinkEbon@hotmail.gov,1982-04-03,33434,Male,American Indian,Nonreligious,Married-civ-spouse,401.9
